Date,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans,Variation %,weekly_mean,rendement_lag_1,rendement_lag_2,rendement_lag_3,rendement_lag_4,returns,garch_vol,garch_vol_lag_1,garch_vol_lag_2,vol_future_2w
2022-08-26,568.18,3.19,0.21,2.02,1.27,11.18,9.22,17.48,-0.056884278591085025,12172.184,0.04,0.83,0.51,0.22,0.0021,0.006045419385903499,0.005884097190803759,0.005844993607599851,0.0029120439557122073
2022-09-02,566.15,3.54,0.36,1.41,1.67,10.35,9.22,16.52,-0.2996504160633684,12135.710000000001,0.21,0.04,0.83,0.51,0.0036,0.005990679037642355,0.006045419385903499,0.005884097190803759,0.0016492422502470642
2022-09-09,567.3,3.34,0.2,0.85,1.92,10.61,9.35,16.08,0.020616840712239792,12138.212,0.36,0.21,0.04,0.83,0.002,0.0059028902114856355,0.005990679037642355,0.006045419385903499,0.000848528137423857
2022-09-16,566.63,3.45,0.12,1.92,2.42,10.96,10.23,15.7,0.11929269319073121,12152.692,0.2,0.36,0.21,0.04,0.0012,0.005939282889213289,0.0059028902114856355,0.005990679037642355,0.019445436482630057
2022-09-23,566.65,3.45,0.0,1.37,2.63,11.42,10.34,16.4,0.5993569161466317,12225.529999999999,0.12,0.2,0.36,0.21,0.0,0.006005312478803927,0.005939282889213289,0.0059028902114856355,0.01955326059765992
2022-09-30,551.08,6.1,2.75,4.61,5.25,7.82,7.5,13.54,-2.9188264230671335,11868.688,0.0,0.12,0.2,0.36,0.0275,0.0061272931860697445,0.006005312478803927,0.005939282889213289,0.006417554051194271
2022-10-07,552.7,5.83,0.29,4.34,5.25,7.4,7.72,13.26,-1.7077709010465125,11665.998000000001,2.75,0.0,0.12,0.2,0.0029,0.009152888411754592,0.0061272931860697445,0.006005312478803927,0.011140017953306897
2022-10-14,547.97,6.63,0.86,5.26,6.53,5.96,6.33,12.02,-0.47576726826115134,11610.495,0.29,2.75,0.0,0.12,0.0086,0.007369343609687761,0.009152888411754592,0.0061272931860697445,0.009656345064256973
2022-10-21,540.72,7.87,1.32,7.03,7.85,4.24,4.82,11.08,-3.5092819040015266,11203.05,0.86,0.29,2.75,0.0,0.0132,0.0065467389957372816,0.007369343609687761,0.009152888411754592,0.003758324094593227
2022-10-28,538.84,8.19,0.35,7.0,8.67,4.47,4.38,10.38,-3.269716728926486,10836.742,1.32,0.86,0.29,2.75,0.0034999999999999996,0.006579747711271489,0.0065467389957372816,0.007369343609687761,0.0083429611050274
2022-11-04,536.71,8.55,0.4,7.13,8.74,3.19,3.82,9.79,-0.06544402367427704,10829.65,0.35,1.32,0.86,0.29,0.004,0.0061517548468878296,0.006579747711271489,0.0065467389957372816,0.008728401915585694
2022-11-11,530.77,9.56,1.11,7.19,9.64,1.84,2.34,7.96,-2.329179613376242,10577.408,0.4,0.35,1.32,0.86,0.0111,0.005957709246868428,0.0061517548468878296,0.006579747711271489,0.005062114182829146
2022-11-25,539.76,8.03,0.54,5.04,7.84,2.94,3.05,9.76,2.2705751730480728,10817.576,1.11,0.4,0.35,1.32,0.0054,0.006126473434817124,0.005957709246868428,0.0061517548468878296,0.0060798848673309595
2022-12-02,542.32,7.6,0.47,5.39,7.21,2.98,3.5,10.45,1.2242299014123104,10950.008,0.54,1.11,0.4,0.35,0.004699999999999999,0.005929552896933687,0.006126473434817124,0.005957709246868428,0.007300684899377592
